country,country_type,eu_member,eurozone_member,year,quarter_num,quarter,price_index,quarterly_change_pct,yearly_change_pct,price_change_since_2015_pct
Austria,Individual,Yes,Yes,2022,4.00,2022-Q4,166.32,-4.20,5.70,66.32
Austria,Individual,Yes,Yes,2023,1.00,2023-Q1,164.35,-1.20,-0.20,64.35
Austria,Individual,Yes,Yes,2023,2.00,2023-Q2,164.68,0.20,-2.80,64.68
Austria,Individual,Yes,Yes,2023,3.00,2023-Q3,164.29,-0.20,-5.40,64.29
Austria,Individual,Yes,Yes,2023,4.00,2023-Q4,161.40,-1.80,-3.00,61.40
Austria,Individual,Yes,Yes,2024,1.00,2024-Q1,159.54,-1.20,-2.90,59.54
Austria,Individual,Yes,Yes,2024,2.00,2024-Q2,164.34,3.00,-0.20,64.34
Austria,Individual,Yes,Yes,2024,3.00,2024-Q3,165.13,0.50,0.50,65.13
Austria,Individual,Yes,Yes,2024,4.00,2024-Q4,163.23,-1.20,1.10,63.23
Austria,Individual,Yes,Yes,2025,1.00,2025-Q1,165.17,1.20,3.50,65.17
Austria,Individual,Yes,Yes,2025,2.00,2025-Q2,166.95,1.10,1.60,66.95
Austria,Individual,Yes,Yes,2025,3.00,2025-Q3,169.64,1.60,2.70,69.64
Belgium,Individual,Yes,Yes,2022,4.00,2022-Q4,134.55,-0.30,4.60,34.55
Belgium,Individual,Yes,Yes,2023,1.00,2023-Q1,135.04,0.40,3.90,35.04
Belgium,Individual,Yes,Yes,2023,2.00,2023-Q2,134.55,-0.40,1.80,34.55
Belgium,Individual,Yes,Yes,2023,3.00,2023-Q3,136.31,1.30,1.00,36.31
Belgium,Individual,Yes,Yes,2023,4.00,2023-Q4,138.28,1.40,2.80,38.28
Belgium,Individual,Yes,Yes,2024,1.00,2024-Q1,139.36,0.80,3.20,39.36
Belgium,Individual,Yes,Yes,2024,2.00,2024-Q2,138.96,-0.30,3.30,38.96
Belgium,Individual,Yes,Yes,2024,3.00,2024-Q3,141.16,1.60,3.60,41.16
Belgium,Individual,Yes,Yes,2024,4.00,2024-Q4,142.18,0.70,2.80,42.18
Belgium,Individual,Yes,Yes,2025,1.00,2025-Q1,143.08,0.60,2.70,43.08
Belgium,Individual,Yes,Yes,2025,2.00,2025-Q2,142.94,-0.10,2.90,42.94
Belgium,Individual,Yes,Yes,2025,3.00,2025-Q3,146.39,2.40,3.70,46.39
Bulgaria,Individual,Yes,No,2022,4.00,2022-Q4,175.14,0.40,13.40,75.14
Bulgaria,Individual,Yes,No,2023,1.00,2023-Q1,177.93,1.60,9.50,77.93
Bulgaria,Individual,Yes,No,2023,2.00,2023-Q2,185.50,4.30,10.70,85.50
Bulgaria,Individual,Yes,No,2023,3.00,2023-Q3,190.48,2.70,9.20,90.48
Bulgaria,Individual,Yes,No,2023,4.00,2023-Q4,192.78,1.20,10.10,92.78
Bulgaria,Individual,Yes,No,2024,1.00,2024-Q1,206.42,7.10,16.00,106.42
Bulgaria,Individual,Yes,No,2024,2.00,2024-Q2,213.53,3.40,15.10,113.53
Bulgaria,Individual,Yes,No,2024,3.00,2024-Q3,221.91,3.90,16.50,121.91
Bulgaria,Individual,Yes,No,2024,4.00,2024-Q4,228.00,2.70,18.30,128.00
Bulgaria,Individual,Yes,No,2025,1.00,2025-Q1,237.55,4.20,15.10,137.55
Bulgaria,Individual,Yes,No,2025,2.00,2025-Q2,246.65,3.80,15.50,146.65
Bulgaria,Individual,Yes,No,2025,3.00,2025-Q3,256.01,3.80,15.40,156.01
Croatia,Individual,Yes,Yes,2022,4.00,2022-Q4,170.11,4.70,17.30,70.11
Croatia,Individual,Yes,Yes,2023,1.00,2023-Q1,173.56,2.00,14.00,73.56
Croatia,Individual,Yes,Yes,2023,2.00,2023-Q2,179.63,3.50,13.70,79.63
Croatia,Individual,Yes,Yes,2023,3.00,2023-Q3,180.09,0.30,10.90,80.09
Croatia,Individual,Yes,Yes,2023,4.00,2023-Q4,186.24,3.40,9.50,86.24
Croatia,Individual,Yes,Yes,2024,1.00,2024-Q1,189.41,1.70,9.10,89.41
Croatia,Individual,Yes,Yes,2024,2.00,2024-Q2,197.53,4.30,10.00,97.53
Croatia,Individual,Yes,Yes,2024,3.00,2024-Q3,202.19,2.40,12.30,102.19
Croatia,Individual,Yes,Yes,2024,4.00,2024-Q4,205.01,1.40,10.10,105.01
Croatia,Individual,Yes,Yes,2025,1.00,2025-Q1,214.18,4.50,13.10,114.18
Croatia,Individual,Yes,Yes,2025,2.00,2025-Q2,223.65,4.40,13.20,123.65
Croatia,Individual,Yes,Yes,2025,3.00,2025-Q3,230.07,2.90,13.80,130.07
Cyprus,Individual,Yes,Yes,2022,4.00,2022-Q4,124.14,-5.20,6.80,24.14
Cyprus,Individual,Yes,Yes,2023,1.00,2023-Q1,131.69,6.10,12.00,31.69
Cyprus,Individual,Yes,Yes,2023,2.00,2023-Q2,132.20,0.40,10.00,32.20
Cyprus,Individual,Yes,Yes,2023,3.00,2023-Q3,136.52,3.30,4.30,36.52
Cyprus,Individual,Yes,Yes,2023,4.00,2023-Q4,137.98,1.10,11.10,37.98
Cyprus,Individual,Yes,Yes,2024,1.00,2024-Q1,143.52,4.00,9.00,43.52
Cyprus,Individual,Yes,Yes,2024,2.00,2024-Q2,143.34,-0.10,8.40,43.34
Cyprus,Individual,Yes,Yes,2024,3.00,2024-Q3,146.76,2.40,7.50,46.76
Cyprus,Individual,Yes,Yes,2024,4.00,2024-Q4,144.20,-1.70,4.50,44.20
Cyprus,Individual,Yes,Yes,2025,1.00,2025-Q1,150.04,4.00,4.50,50.04
